date,Symbol,rv5_ss,rv10_ss,medrv,rk_twoscale,rsv,rv10,rsv_ss,bv,rk_th2,rk_parzen,open_price,close_time,rv5,bv_ss
2017-12-08 00:00:00+00:00,AEX,1.8108E-05,1.8092E-05,6.9306E-06,1.7864E-05,8.0511E-06,1.8092E-05,8.0511E-06,1.5239E-05,1.8150E-05,2.1366E-05,5.4637E+02,1.7302E+05,1.8108E-05,1.5239E-05
2017-12-11 00:00:00+00:00,AEX,1.2464E-05,1.0812E-05,5.1601E-06,1.4356E-05,6.3044E-06,1.0812E-05,6.3044E-06,1.1475E-05,1.4466E-05,4.0174E-06,5.4795E+02,1.7300E+05,1.2464E-05,1.1475E-05
2017-12-12 00:00:00+00:00,AEX,1.4590E-05,1.7178E-05,4.7523E-06,1.6183E-05,5.4423E-06,1.7178E-05,5.4423E-06,1.1882E-05,1.6255E-05,1.0506E-05,5.4997E+02,1.7302E+05,1.4590E-05,1.1882E-05
2017-12-13 00:00:00+00:00,AEX,1.2760E-05,1.1588E-05,5.2534E-06,1.3892E-05,7.5674E-06,1.1588E-05,7.5674E-06,1.2121E-05,1.3862E-05,3.9300E-06,5.5213E+02,1.7302E+05,1.2760E-05,1.2121E-05
2017-12-14 00:00:00+00:00,AEX,2.2477E-05,1.7742E-05,1.2831E-05,2.2292E-05,1.2540E-05,1.7742E-05,1.2540E-05,2.0113E-05,2.2225E-05,1.1567E-05,5.5003E+02,1.7300E+05,2.2477E-05,2.0113E-05
2017-12-15 00:00:00+00:00,AEX,1.7812E-05,2.1714E-05,5.8534E-06,1.7903E-05,7.3666E-06,2.1714E-05,7.3666E-06,1.3632E-05,1.8105E-05,1.5265E-05,5.4685E+02,1.7302E+05,1.7812E-05,1.3632E-05
2017-12-18 00:00:00+00:00,AEX,1.1402E-05,1.0428E-05,6.1079E-06,1.2318E-05,4.3793E-06,1.0428E-05,4.3793E-06,1.0487E-05,1.2402E-05,6.7112E-06,5.5133E+02,1.7303E+05,1.1402E-05,1.0487E-05
2017-12-19 00:00:00+00:00,AEX,1.0716E-05,1.0637E-05,3.1632E-06,1.0538E-05,5.8294E-06,1.0637E-05,5.8294E-06,8.8416E-06,1.0673E-05,1.2305E-05,5.5373E+02,1.7300E+05,1.0716E-05,8.8416E-06
2017-12-20 00:00:00+00:00,AEX,3.1510E-05,3.8050E-05,1.1750E-05,2.9162E-05,1.9664E-05,3.8050E-05,1.9664E-05,3.4805E-05,2.9410E-05,4.7719E-05,5.5220E+02,1.7300E+05,3.1510E-05,3.4805E-05
2017-12-21 00:00:00+00:00,AEX,1.8483E-05,1.9984E-05,1.0382E-05,1.8918E-05,8.7854E-06,1.9984E-05,8.7854E-06,1.4833E-05,1.9061E-05,2.5199E-05,5.4627E+02,1.7300E+05,1.8483E-05,1.4833E-05
